,,,
Place Name,State_po_Rep,Latitude,Longitude
"Alabama, USA",AL,32.318230,-86.902298
"Alaska, USA",AK,66.160507,-153.369141
"Arizona, USA",AZ,34.048927,-111.093735
"Arkansas, the US",AR,34.799999,-92.199997
"California, the USA",CA,36.778259,-119.417931
"Colorado, USA",CO,39.113014,-105.358887
"Connecticut, the US",CT,41.599998,-72.699997
"Delaware, the US",DE,39.000000,-75.500000
"Florida, USA",FL,27.994402,-81.760254
"Georgia, the USA",GA,33.247875,-83.441162
"Hawaii, USA",HI,19.741755,-155.844437
"Idaho, USA",ID,44.068203,-114.742043
"Illinois, the US",IL,40.000000,-89.000000
"Indiana, USA",IN,40.273502,-86.126976
"Iowa, the USA",IA,42.032974,-93.581543
"Kansas, the US",KS,38.500000,-98.000000
"Kentucky, USA",KY,37.839333,-84.270020
"Louisiana, USA",LA,30.391830,-92.329102
"Maine, the USA",ME,45.367584,-68.972168
"Maryland, USA",MD,39.045753,-76.641273
"Massachusetts, USA",MA,42.407211,-71.382439
"Michigan, USA",MI,44.182205,-84.506836
"Minnesota, USA",MN,46.392410,-94.636230
"Mississippi, the US",MS,33.000000,-90.000000
"Missouri, USA",MO,38.573936,-92.603760
"Montana, USA",MT,46.965260,-109.533691
"Nebraska, the US",NE,41.500000,-100.000000
"Nevada, USA",NV,39.876019,-117.224121
"New Hampshire, the US",NH,44.000000,-71.500000
"New Jersey, USA",NJ,39.833851,-74.871826
"New Mexico, USA",NM,34.307144,-106.018066
"New York, the US",NY,43.000000,-75.000000
"North Carolina, USA",NC,35.782169,-80.793457
"North Dakota, USA",ND,47.650589,-100.437012
"Ohio, USA",OH,40.367474,-82.996216
"Oklahoma, the USA",OK,36.084621,-96.921387
"Oregon, the US",OR,44.000000,-120.500000
"Pennsylvania, USA",PA,41.203323,-77.194527
"Rhode Island, the US",RI,41.700001,-71.500000
"South Carolina, USA",SC,33.836082,-81.163727
"South Dakota, the US",SD,44.500000,-100.000000
"Tennessee, USA",TN,35.860119,-86.660156
"Texas, the USA",TX,31.000000,-100.000000
"Utah, USA",UT,39.419220,-111.950684
"Vermont, the USA",VT,44.000000,-72.699997
"Virginia, USA",VA,37.926868,-78.024902
"Washington State, the USA",WA,47.751076,-120.740135
"West Virginia, the US",WV,39.000000,-80.500000
"Wisconsin, the USA",WI,44.500000,-89.500000
"Wyoming, USA",WY,43.075970,-107.290283
